Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
27,Male,1,Data Analyst,2,50000,China,White,0
29,Female,1,Marketing Manager,3,55000,USA,Hispanic,0
35,Male,3,Research Scientist,10,130000,UK,White,1
26,Female,1,Software Engineer,1,45000,UK,White,0
33,Male,2,Data Scientist,8,120000,Canada,Asian,1
29,Female,1,Marketing Coordinator,3,55000,USA,African American,0
31,Male,1,Marketing Manager,5,70000,Australia,Asian,0
38,Female,3,Research Scientist,12,140000,UK,Welsh,1
25,Male,0,Sales Associate,1,30000,USA,White,0
32,Female,2,Software Engineer,7,100000,China,Chinese,1
27,Male,1,Data Analyst,2,50000,China,Chinese,0
29,Female,1,Marketing Manager,3,55000,USA,Asian,0
35,Male,3,Research Scientist,10,130000,USA,White,1
26,Female,1,Software Engineer,1,45000,China,White,0
33,Male,2,Data Scientist,8,120000,Australia,Australian,1
29,Female,1,Marketing Coordinator,3,55000,USA,Asian,0
31,Male,1,Marketing Manager,5,70000,China,Chinese,0
38,Female,3,Research Scientist,12,140000,USA,White,1
25,Male,0,Sales Associate,1,30000,Australia,White,0
32,Female,2,Software Engineer,7,100000,USA,African American,1
27,Male,1,Data Analyst,2,50000,Canada,Asian,0
29,Female,1,Marketing Manager,3,55000,Australia,Australian,0
35,Male,3,Research Scientist,10,130000,China,White,1
26,Female,1,Software Engineer,1,45000,Australia,White,0
28,Female,1,Software Engineer,2,48000,Australia,White,0
36,Male,2,Data Scientist,9,125000,China,Chinese,1
30,Female,1,Marketing Coordinator,4,57000,USA,Asian,0
32,Male,1,Marketing Manager,6,72000,UK,Mixed,0
39,Female,3,Research Scientist,13,145000,UK,White,1
26,Male,0,Sales Associate,2,31000,Australia,White,0
33,Female,2,Software Engineer,8,105000,China,White,1
28,Male,1,Data Analyst,3,52000,China,White,0
30,Female,1,Marketing Manager,4,57000,Canada,Black,0
36,Male,3,Research Scientist,11,135000,China,Korean,1
27,Female,1,Software Engineer,2,48000,USA,Asian,0
34,Male,2,Data Scientist,9,125000,China,White,1
30,Female,1,Marketing Coordinator,4,57000,China,Chinese,0
32,Male,1,Marketing Manager,6,72000,Australia,Australian,0
39,Female,3,Research Scientist,13,145000,Australia,White,1
26,Male,0,Sales Associate,2,31000,Canada,Asian,0
33,Female,2,Software Engineer,8,105000,Australia,Asian,1
28,Male,1,Data Analyst,3,52000,Canada,Black,0
30,Female,1,Marketing Manager,4,57000,USA,White,0
36,Male,3,Research Scientist,11,135000,Canada,Black,1
27,Female,1,Software Engineer,2,48000,Canada,Asian,0
34,Male,2,Data Scientist,9,125000,Canada,Black,1
30,Female,1,Marketing Coordinator,4,57000,UK,White,0
32,Male,1,Marketing Manager,6,72000,Canada,White,0
39,Female,3,Research Scientist,13,145000,China,White,1
26,Male,0,Sales Associate,2,31000,USA,White,0
33,Female,2,Software Engineer,8,105000,UK,Mixed,1
28,Male,1,Data Analyst,3,52000,UK,Asian,0
30,Female,1,Marketing Manager,4,57000,China,Korean,0
36,Male,3,Research Scientist,11,135000,Canada,Black,1
27,Female,1,Software Engineer,2,48000,USA,White,0
34,Male,2,Data Scientist,9,125000,Australia,Asian,1
30,Female,1,Marketing Coordinator,4,57000,China,White,0
32,Male,1,Marketing Manager,6,72000,China,Korean,0
39,Female,3,Research Scientist,13,145000,China,Chinese,1
26,Male,0,Sales Associate,2,31000,Australia,Australian,0
33,Female,2,Software Engineer,8,105000,Canada,White,1
28,Male,1,Data Analyst,3,52000,Australia,Australian,0
30,Female,1,Marketing Manager,4,57000,UK,Asian,0
36,Male,3,Research Scientist,11,135000,Australia,Australian,1
27,Female,1,Software Engineer,2,48000,UK,Asian,0
34,Male,2,Data Scientist,9,125000,UK,Mixed,1
30,Female,1,Marketing Coordinator,4,57000,USA,Asian,0
32,Male,1,Marketing Manager,6,72000,Australia,White,0
39,Female,3,Research Scientist,13,145000,USA,Asian,1
26,Male,0,Sales Associate,2,31000,China,Korean,0
33,Female,2,Software Engineer,8,105000,UK,White,1
28,Male,1,Data Analyst,3,52000,China,Korean,0
30,Female,1,Marketing Manager,4,57000,UK,Asian,0
36,Male,3,Research Scientist,11,135000,UK,White,1
27,Female,1,Software Engineer,2,48000,China,White,0
34,Male,2,Data Scientist,9,125000,China,Korean,1
30,Female,1,Marketing Coordinator,4,57000,USA,Asian,0
32,Male,1,Marketing Manager,6,72000,China,White,0
39,Female,3,Research Scientist,13,145000,China,Chinese,1
26,Male,0,Sales Associate,2,31000,Canada,White,0
33,Female,2,Software Engineer,8,105000,USA,African American,1
28,Male,1,Data Analyst,3,52000,Canada,Black,0
30,Female,1,Marketing Manager,4,57000,UK,Welsh,0
36,Male,3,Research Scientist,11,135000,Canada,Black,1
27,Female,1,Software Engineer,2,48000,Australia,Australian,0
34,Male,2,Data Scientist,9,125000,China,Chinese,1
30,Female,1,Marketing Coordinator,4,57000,Canada,Asian,0
32,Male,1,Marketing Manager,6,72000,China,Korean,0
39,Female,3,Research Scientist,13,145000,China,White,1
26,Male,0,Sales Associate,2,31000,USA,Hispanic,0
33,Female,2,Software Engineer,8,105000,USA,White,1
28,Male,1,Data Analyst,3,52000,Australia,Asian,0
30,Female,1,Marketing Manager,4,57000,China,White,0
36,Male,3,Research Scientist,11,135000,UK,Mixed,1
27,Female,1,Software Engineer,2,48000,UK,Welsh,0
34,Male,2,Data Scientist,9,125000,USA,White,1
30,Female,1,Marketing Coordinator,4,57000,USA,White,0
32,Male,1,Marketing Manager,6,72000,UK,White,0
39,Female,3,Research Scientist,13,145000,UK,Welsh,1
26,Male,0,Sales Associate,2,31000,UK,White,0
33,Female,2,Software Engineer,8,105000,USA,Hispanic,1
28,Male,1,Data Analyst,3,52000,USA,Hispanic,0
30,Female,1,Marketing Manager,4,57000,Australia,Asian,0
36,Male,3,Research Scientist,11,135000,Australia,Asian,1
27,Female,1,Software Engineer,2,48000,UK,White,0
34,Male,2,Data Scientist,9,125000,Canada,Asian,1
30,Female,1,Marketing Coordinator,4,57000,USA,Hispanic,0
32,Male,1,Marketing Manager,6,72000,Canada,White,0
39,Female,3,Research Scientist,13,145000,UK,Mixed,1
26,Male,0,Sales Associate,2,31000,USA,Asian,0
33,Female,2,Software Engineer,8,105000,Australia,Asian,1
28,Male,1,Data Analyst,3,52000,Australia,Asian,0
30,Female,1,Marketing Manager,4,57000,Australia,Australian,0
36,Male,3,Research Scientist,11,135000,China,Korean,1
27,Female,1,Software Engineer,2,48000,UK,Asian,0
34,Male,2,Data Scientist,9,125000,China,Chinese,1
30,Female,1,Marketing Coordinator,4,57000,China,White,0
32,Male,1,Marketing Manager,6,72000,China,Korean,0
39,Female,3,Research Scientist,13,145000,USA,African American,1
26,Male,0,Sales Associate,2,31000,USA,Asian,0
33,Female,2,Software Engineer,8,105000,UK,Welsh,1
28,Male,1,Data Analyst,3,52000,Canada,Black,0
30,Female,1,Marketing Manager,4,57000,China,White,0
36,Male,3,Research Scientist,11,135000,UK,White,1
27,Female,1,Software Engineer,2,48000,Canada,Asian,0
34,Male,2,Data Scientist,9,125000,UK,Mixed,1
30,Female,1,Marketing Coordinator,4,57000,Canada,Black,0
32,Male,1,Marketing Manager,6,72000,UK,White,0
39,Female,3,Research Scientist,13,145000,UK,Mixed,1
26,Male,0,Sales Associate,2,31000,UK,Asian,0
33,Female,2,Software Engineer,8,105000,Australia,White,1
28,Male,1,Data Analyst,3,52000,USA,Asian,0
30,Female,1,Marketing Manager,4,57000,USA,White,0
36,Male,3,Research Scientist,11,135000,UK,Asian,1
27,Female,1,Software Engineer,2,48000,USA,White,0
34,Male,2,Data Scientist,9,125000,UK,Asian,1
30,Female,1,Marketing Coordinator,4,57000,UK,Welsh,0
32,Male,1,Marketing Manager,6,72000,Canada,Asian,0
39,Female,3,Research Scientist,13,145000,Australia,White,1
26,Male,0,Sales Associate,2,31000,Australia,Asian,0
33,Female,2,Software Engineer,8,105000,USA,African American,1
28,Male,1,Data Analyst,3,52000,USA,White,0
30,Female,1,Marketing Manager,4,57000,Canada,Asian,0
36,Male,3,Research Scientist,11,135000,China,Chinese,1
27,Female,1,Software Engineer,2,48000,UK,Mixed,0
26,Male,1,Product Marketing Manager,5,85000,Canada,White,1
28,Female,2,Marketing Manager,7,110000,China,Chinese,0
34,Male,3,Director of Marketing,12,170000,UK,Welsh,0
31,Male,1,Sales Director,9,140000,Australia,White,0
24,Female,0,Sales Associate,1,30000,Australia,Australian,0
29,Male,1,Digital Marketing Manager,6,95000,UK,Asian,0
27,Female,2,Content Marketing Manager,4,80000,China,Chinese,0
33,Male,3,Sales Director,10,155000,USA,Asian,0
21,Female,0,Sales Representative,0,25000,China,White,0
36,Male,1,Sales Manager,11,160000,China,Korean,0
25,Female,1,Marketing Manager,3,65000,USA,African American,0
30,Male,2,Financial Manager,7,120000,Australia,Australian,0
28,Female,3,Director of Marketing,6,105000,UK,Mixed,0
26,Male,1,Product Marketing Manager,5,85000,Australia,Asian,1
28,Female,2,Marketing Manager,7,110000,USA,White,0
34,Male,3,Director of Marketing,12,170000,China,Chinese,0
31,Male,1,Sales Director,9,140000,USA,White,0
24,Female,0,Sales Associate,1,30000,UK,Welsh,0
29,Male,1,Digital Marketing Manager,6,95000,Australia,Australian,0
27,Female,2,Content Marketing Manager,4,80000,Australia,Asian,0
33,Male,3,Sales Director,10,155000,USA,Asian,0
21,Female,0,Sales Representative,0,25000,USA,Asian,0
36,Male,1,Sales Manager,11,160000,Canada,White,0
25,Female,1,Marketing Manager,3,65000,USA,Hispanic,0
30,Male,2,Financial Manager,7,120000,Canada,White,0
28,Female,3,Director of Marketing,6,105000,Canada,Black,0
26,Male,1,Product Marketing Manager,5,85000,Canada,Black,1
28,Female,2,Marketing Manager,7,110000,UK,Welsh,0
34,Male,3,Director of Marketing,12,170000,Canada,Asian,0
31,Male,1,Sales Director,9,140000,USA,White,0
24,Female,0,Sales Associate,1,30000,Canada,White,0
29,Male,1,Digital Marketing Manager,6,95000,China,Chinese,0
27,Female,2,Content Marketing Manager,4,80000,Canada,Black,0
33,Male,3,Sales Director,10,155000,Canada,Black,0
21,Female,0,Sales Representative,0,25000,China,White,0
36,Male,1,Sales Manager,11,160000,Australia,White,0
25,Female,1,Marketing Manager,3,65000,Canada,Black,0
30,Male,2,Financial Manager,7,120000,China,Korean,0
28,Female,3,Director of Marketing,6,105000,Australia,White,0
26,Male,1,Product Marketing Manager,5,85000,Canada,Black,1
28,Female,2,Marketing Manager,7,110000,USA,Hispanic,0
34,Male,3,Director of Marketing,12,170000,Australia,Australian,0
31,Male,1,Sales Director,9,140000,China,Korean,0
24,Female,0,Sales Associate,1,30000,Canada,Black,0
29,Male,1,Digital Marketing Manager,6,95000,USA,White,0
27,Female,2,Content Marketing Manager,4,80000,UK,White,0
33,Male,3,Sales Director,10,155000,USA,White,0
21,Female,0,Sales Representative,0,25000,USA,African American,0
36,Male,1,Sales Manager,11,160000,China,Chinese,0
25,Female,1,Marketing Manager,3,65000,UK,Welsh,0
30,Male,2,Financial Manager,7,120000,Canada,Black,0
28,Female,3,Director of Marketing,6,105000,Canada,Asian,0
26,Male,1,Product Marketing Manager,5,85000,China,Chinese,1
28,Female,2,Marketing Manager,7,110000,Canada,Black,0
34,Male,3,Director of Marketing,12,170000,UK,Welsh,0
31,Male,1,Sales Director,9,140000,USA,African American,0
24,Female,0,Sales Associate,1,30000,UK,Asian,0
29,Male,1,Digital Marketing Manager,6,95000,Australia,Asian,0
27,Female,2,Content Marketing Manager,4,80000,China,White,0
33,Male,3,Sales Director,10,155000,China,Korean,0
21,Female,0,Sales Representative,0,25000,USA,White,0
36,Male,1,Sales Manager,11,160000,Canada,White,0
25,Female,1,Marketing Manager,3,65000,Canada,White,0
30,Male,2,Financial Manager,7,120000,Australia,White,0
28,Female,3,Director of Marketing,6,105000,Australia,Australian,0
26,Male,1,Product Marketing Manager,5,85000,China,Korean,1
28,Female,2,Marketing Manager,7,110000,UK,Welsh,0
34,Male,3,Director of Marketing,12,170000,Australia,Australian,0
31,Male,1,Sales Director,9,140000,China,White,0
24,Female,0,Sales Associate,1,30000,Canada,Asian,0
29,Male,1,Digital Marketing Manager,6,95000,UK,Welsh,0
27,Female,2,Content Marketing Manager,4,80000,Australia,White,0
33,Male,3,Sales Director,10,155000,USA,Asian,0
21,Female,0,Sales Representative,0,25000,China,Chinese,0
36,Male,1,Sales Manager,11,160000,Australia,Asian,0
25,Female,1,Marketing Manager,3,65000,UK,Asian,0
30,Male,2,Financial Manager,7,120000,Canada,Black,0
28,Female,3,Director of Marketing,6,105000,UK,White,0
26,Male,1,Product Marketing Manager,5,85000,USA,White,1
28,Female,2,Marketing Manager,7,110000,UK,Asian,0
34,Male,3,Director of Marketing,12,170000,China,Korean,0
31,Male,1,Sales Director,9,140000,USA,White,0
24,Female,0,Sales Associate,1,30000,Canada,Asian,0
29,Male,1,Digital Marketing Manager,6,95000,UK,Mixed,0
27,Female,2,Content Marketing Manager,4,80000,USA,White,0
33,Male,3,Sales Director,10,155000,USA,Asian,0
21,Female,0,Sales Representative,0,25000,Australia,White,0
36,Male,1,Sales Manager,11,160000,UK,Mixed,0
25,Female,1,Marketing Manager,3,65000,UK,White,0
30,Male,2,Financial Manager,7,120000,USA,African American,0
28,Female,3,Director of Marketing,6,105000,UK,Mixed,0
26,Male,1,Product Marketing Manager,5,85000,UK,White,1
28,Female,2,Marketing Manager,7,110000,UK,Mixed,0
34,Male,3,Director of Marketing,12,170000,UK,Asian,0
31,Male,1,Sales Director,9,140000,China,Korean,0
24,Female,0,Sales Associate,1,30000,USA,White,0
29,Male,1,Digital Marketing Manager,6,95000,China,Korean,0
27,Female,2,Content Marketing Manager,4,80000,Australia,Australian,0
33,Male,3,Sales Director,10,155000,Canada,Black,0
21,Female,0,Sales Representative,0,25000,Canada,Black,0
36,Male,1,Sales Manager,11,160000,Canada,Black,0
25,Female,1,Marketing Manager,3,65000,China,Korean,0
30,Male,2,Financial Manager,7,120000,China,Chinese,0
28,Female,3,Director of Marketing,6,105000,USA,White,0
26,Male,1,Product Marketing Manager,5,85000,China,White,1
28,Female,2,Marketing Manager,7,110000,USA,White,0
34,Male,3,Director of Marketing,12,170000,China,White,0
31,Male,1,Sales Director,9,140000,USA,Asian,0
24,Female,0,Sales Associate,1,30000,UK,Asian,0
29,Male,1,Digital Marketing Manager,6,95000,UK,Asian,0
27,Female,2,Content Marketing Manager,4,80000,UK,Asian,0
33,Male,3,Sales Director,10,155000,USA,White,0
21,Female,0,Sales Representative,0,25000,China,Korean,0
36,Male,1,Sales Manager,11,160000,Canada,White,0
25,Female,1,Marketing Manager,3,65000,Australia,Asian,0
30,Male,2,Financial Manager,7,120000,Australia,Asian,0
28,Female,3,Director of Marketing,6,105000,China,Chinese,0
26,Male,1,Product Marketing Manager,5,85000,UK,White,1
28,Female,2,Marketing Manager,7,110000,UK,White,0
34,Male,3,Director of Marketing,12,170000,USA,White,0
31,Male,1,Sales Director,9,140000,UK,Asian,0
24,Female,0,Sales Associate,1,30000,China,Korean,0
29,Male,1,Digital Marketing Manager,6,95000,China,White,0
27,Female,2,Content Marketing Manager,4,80000,UK,Asian,0
22,Female,0,Sales Associate,0,25000,USA,Asian,0
45,Male,1,Financial Manager,21,250000,Canada,Black,0
31,Female,2,Content Marketing Manager,8,120000,Canada,Asian,0
28,Male,1,Digital Marketing Manager,4,80000,Australia,Asian,0
29,Male,1,Product Marketing Manager,6,100000,Canada,Black,1
35,Female,3,Director of Marketing,12,170000,Canada,Asian,0
27,Male,0,Sales Representative,3,50000,UK,Mixed,0
33,Female,1,Marketing Manager,9,140000,USA,Asian,0
30,Male,2,Financial Manager,7,120000,Australia,Australian,0
25,Female,1,Marketing Manager,2,55000,Canada,Asian,0
26,Male,1,Product Marketing Manager,5,85000,China,Korean,1
29,Female,2,Content Marketing Manager,4,80000,UK,Welsh,0
34,Male,3,Director of Marketing,12,170000,USA,Hispanic,0
31,Male,1,Sales Director,9,140000,USA,African American,0
24,Female,0,Sales Associate,1,30000,USA,White,0
29,Male,1,Digital Marketing Manager,6,95000,USA,African American,0
27,Female,2,Content Marketing Manager,4,80000,UK,White,0
33,Male,3,Sales Director,10,155000,UK,Mixed,0
21,Female,0,Sales Representative,0,25000,Australia,White,0
36,Male,1,Sales Manager,11,160000,Australia,Asian,0
25,Female,1,Marketing Manager,3,65000,UK,Asian,0
30,Male,2,Financial Manager,7,120000,Canada,Asian,0
28,Female,3,Director of Marketing,6,105000,China,White,0
26,Male,1,Product Marketing Manager,5,85000,China,White,1
28,Female,2,Marketing Manager,7,110000,UK,White,0
34,Male,3,Director of Marketing,12,170000,Canada,Asian,0
31,Male,1,Sales Director,9,140000,USA,African American,0
24,Female,0,Sales Associate,1,30000,USA,African American,0
29,Male,1,Digital Marketing Manager,6,95000,USA,Hispanic,0
27,Female,2,Content Marketing Manager,4,80000,Canada,Asian,0
33,Male,3,Sales Director,10,155000,Canada,White,0
21,Female,0,Sales Representative,0,25000,UK,White,0
36,Male,1,Sales Manager,11,160000,UK,Asian,0
25,Female,1,Marketing Manager,3,65000,China,Korean,0
30,Male,2,Financial Manager,7,120000,Australia,Asian,0
28,Female,3,Director of Marketing,6,105000,Australia,Australian,0
26,Male,1,Product Marketing Manager,5,85000,USA,African American,1
28,Female,2,Marketing Manager,7,110000,Australia,Australian,0
34,Male,3,Director of Marketing,12,170000,China,Chinese,0
31,Male,1,Sales Director,9,140000,USA,Asian,0
24,Female,0,Sales Associate,1,30000,Canada,Black,0
29,Male,1,Digital Marketing Manager,6,95000,Australia,Asian,0
27,Female,2,Content Marketing Manager,4,80000,USA,White,0
33,Male,3,Sales Director,10,155000,Canada,White,0
21,Female,0,Sales Representative,0,25000,Australia,White,0
36,Male,1,Sales Manager,11,160000,Canada,Black,0
25,Female,1,Marketing Manager,3,65000,USA,Asian,0
30,Male,2,Financial Manager,7,120000,China,White,0
28,Female,3,Director of Marketing,6,105000,China,Korean,0
26,Male,1,Product Marketing Manager,5,85000,Canada,White,1
28,Female,2,Marketing Manager,7,110000,USA,Asian,0
34,Male,3,Director of Marketing,12,170000,UK,Mixed,0
31,Male,1,Sales Director,9,140000,Australia,White,0
24,Female,0,Sales Associate,1,30000,China,Korean,0
29,Male,1,Digital Marketing Manager,6,95000,USA,Hispanic,0
27,Female,2,Content Marketing Manager,4,80000,Canada,Asian,0
33,Male,3,Sales Director,10,155000,USA,African American,0
21,Female,0,Sales Representative,0,25000,Australia,Australian,0
36,Male,1,Sales Manager,11,160000,Canada,White,0
25,Female,1,Marketing Manager,3,65000,USA,White,0
30,Male,2,Financial Manager,7,120000,UK,Mixed,0
28,Female,3,Director of Marketing,6,105000,USA,Asian,0
26,Male,1,Product Marketing Manager,5,85000,Australia,White,1
28,Female,2,Marketing Manager,7,110000,Canada,Asian,0
34,Male,3,Director of Marketing,12,170000,China,Korean,0
31,Male,1,Sales Director,9,140000,Australia,White,0
24,Female,0,Sales Associate,1,30000,China,Korean,0
29,Male,1,Digital Marketing Manager,6,95000,China,White,0
27,Female,2,Content Marketing Manager,4,80000,UK,Mixed,0
33,Male,3,Sales Director,10,155000,Canada,White,0
21,Female,0,Sales Representative,0,25000,China,Korean,0
36,Male,1,Sales Manager,11,160000,USA,African American,0
25,Female,1,Marketing Manager,3,65000,China,White,0
30,Male,2,Financial Manager,7,120000,China,White,0
28,Female,3,Director of Marketing,6,105000,Australia,Asian,0
26,Male,1,Product Marketing Manager,5,85000,USA,Hispanic,1
28,Female,2,Marketing Manager,7,110000,USA,White,0
34,Male,3,Director of Marketing,12,170000,Canada,Asian,0
31,Male,1,Sales Director,9,140000,UK,Asian,0
24,Female,0,Sales Associate,1,30000,China,Chinese,0
29,Male,1,Digital Marketing Manager,6,95000,USA,African American,0
27,Female,2,Content Marketing Manager,4,80000,USA,Asian,0
33,Male,3,Sales Director,10,155000,China,White,0
21,Female,0,Sales Representative,0,25000,USA,African American,0
36,Male,1,Sales Manager,11,160000,USA,Asian,0
25,Female,1,Marketing Manager,3,65000,Canada,Black,0
30,Male,2,Financial Manager,7,120000,USA,White,0
28,Female,3,Director of Marketing,6,105000,Canada,Asian,0
26,Male,1,Product Marketing Manager,5,85000,UK,Welsh,1
28,Female,2,Marketing Manager,7,110000,China,Chinese,0
34,Male,3,Director of Marketing,12,170000,USA,Asian,0
31,Male,1,Sales Director,9,140000,China,Chinese,0
24,Female,0,Sales Associate,1,30000,Canada,Asian,0
29,Male,1,Digital Marketing Manager,6,95000,China,Korean,0
27,Female,2,Content Marketing Manager,4,80000,Canada,Asian,0
33,Male,3,Sales Director,10,155000,China,Chinese,0
21,Female,0,Sales Representative,0,25000,Australia,Asian,0
36,Male,1,Sales Manager,11,160000,Canada,Asian,0
25,Female,1,Marketing Manager,3,65000,Australia,Asian,0
30,Male,2,Financial Manager,7,120000,USA,White,0
28,Female,3,Director of Marketing,6,105000,Australia,Asian,0
26,Male,1,Product Marketing Manager,5,85000,USA,Hispanic,1
28,Female,2,Marketing Manager,7,110000,China,Korean,0
34,Male,3,Director of Marketing,12,170000,Canada,Black,0
31,Male,1,Sales Director,9,140000,China,Korean,0
24,Female,0,Sales Associate,1,30000,UK,Mixed,0
29,Male,1,Digital Marketing Manager,6,95000,Australia,Asian,0
27,Female,2,Content Marketing Manager,4,80000,Australia,Asian,0
33,Male,3,Sales Director,10,155000,Australia,White,0
21,Female,0,Sales Representative,0,25000,Australia,Australian,0
36,Male,1,Sales Manager,11,160000,Canada,Black,0
25,Female,1,Marketing Manager,3,65000,UK,Welsh,0
30,Male,2,Financial Manager,7,120000,China,Korean,0
28,Female,3,Director of Marketing,6,105000,USA,Hispanic,0
26,Male,1,Product Marketing Manager,5,85000,USA,African American,1
28,Female,2,Marketing Manager,7,110000,UK,Mixed,0
34,Male,3,Director of Marketing,12,170000,Australia,Asian,0
31,Male,1,Sales Director,9,140000,China,Chinese,0
24,Female,0,Sales Associate,1,30000,Australia,White,0
29,Male,1,Digital Marketing Manager,6,95000,Australia,Australian,0
27,Female,2,Content Marketing Manager,4,80000,Australia,White,0
33,Male,3,Sales Director,10,155000,USA,African American,0
21,Female,0,Sales Representative,0,25000,China,Chinese,0
36,Male,1,Sales Manager,11,160000,USA,Asian,0
23,Male,1,Software Engineer,1,60000,China,White,0
39,Female,2,Marketing Manager,12,150000,Canada,Asian,0
28,Male,1,Financial Analyst,4,80000,Canada,White,0
31,Female,3,Research Scientist,8,120000,Canada,White,0
35,Male,1,Project Manager,10,130000,Canada,Black,0
27,Female,1,Graphic Designer,2,50000,USA,Hispanic,0
42,Male,2,Software Engineer,18,180000,China,Korean,1
29,Female,1,Digital Marketing Specialist,3,60000,Canada,Asian,0
33,Male,1,Marketing Manager,7,110000,Australia,Asian,0
24,Female,0,Sales Associate,0,25000,UK,White,0
30,Male,2,Financial Analyst,6,100000,UK,White,0
26,Female,1,Social Media Manager,3,55000,USA,African American,0
32,Male,3,Data Scientist,9,140000,UK,Asian,0
22,Female,0,Receptionist,0,25000,UK,Asian,0
37,Male,1,Product Manager,12,150000,UK,Welsh,0
38,Female,2,Marketing Director,14,170000,Australia,White,0
25,Male,1,Software Engineer,1,55000,Australia,Asian,0
29,Female,1,Marketing Coordinator,4,65000,China,Korean,0
27,Male,1,Product Designer,3,60000,USA,African American,0
34,Female,3,Research Director,10,150000,Australia,Asian,0
26,Male,1,Marketing Analyst,2,50000,Australia,White,0
31,Female,2,Financial Manager,7,120000,UK,Mixed,0
25,Male,1,Software Engineer,1,55000,China,White,0
29,Female,1,Marketing Coordinator,4,65000,China,Chinese,0
27,Male,1,Product Designer,3,60000,Canada,Black,0
34,Female,3,Research Director,10,150000,USA,Asian,0
26,Male,1,Marketing Analyst,2,50000,China,White,0
31,Female,2,Financial Manager,7,120000,Australia,Australian,0
23,Male,1,Software Engineer,1,60000,Australia,Asian,0
39,Female,2,Marketing Manager,12,150000,Australia,Australian,0
28,Male,1,Financial Analyst,4,80000,China,White,0
31,Female,3,Research Scientist,8,120000,Canada,Black,0
35,Male,1,Project Manager,10,130000,UK,Asian,0
27,Female,1,Graphic Designer,2,50000,UK,Asian,0
42,Male,2,Software Engineer,18,180000,UK,Asian,1
29,Female,1,Digital Marketing Specialist,3,60000,USA,Hispanic,0
33,Male,1,Marketing Manager,7,110000,Canada,Asian,0
24,Female,0,Sales Associate,0,25000,Canada,Black,0
30,Male,2,Financial Analyst,6,100000,China,White,0
26,Female,1,Social Media Manager,3,55000,USA,African American,0
32,Male,3,Data Scientist,9,140000,USA,Asian,0
22,Female,0,Receptionist,0,25000,UK,White,0
37,Male,1,Product Manager,12,150000,Canada,Asian,0
38,Female,2,Marketing Director,14,170000,Canada,Black,0
25,Male,1,Software Engineer,1,55000,UK,Mixed,0
29,Female,1,Marketing Coordinator,4,65000,Canada,Black,0
27,Male,1,Product Designer,3,60000,China,Korean,0
34,Female,3,Research Director,10,150000,China,White,0
26,Male,1,Marketing Analyst,2,50000,Australia,Australian,0
31,Female,2,Financial Manager,7,120000,Canada,Asian,0
25,Male,1,Software Engineer,1,55000,Australia,Australian,0
29,Female,1,Marketing Coordinator,4,65000,Australia,White,0
27,Male,1,Product Designer,3,60000,USA,African American,0
34,Female,3,Research Director,10,150000,USA,Asian,0
26,Male,1,Marketing Analyst,2,50000,UK,White,0
31,Female,2,Financial Manager,7,120000,Australia,White,0
23,Male,1,Software Engineer,1,60000,Australia,Australian,0
39,Female,2,Marketing Manager,12,150000,China,Chinese,0
28,Male,1,Financial Analyst,4,80000,China,Korean,0
31,Female,3,Research Scientist,8,120000,China,White,0
35,Male,1,Project Manager,10,130000,USA,White,0
27,Female,1,Graphic Designer,2,50000,China,Korean,0
42,Male,2,Software Engineer,18,180000,Canada,Asian,1
29,Female,1,Digital Marketing Specialist,3,60000,Canada,Asian,0
33,Male,1,Marketing Manager,7,110000,Canada,Black,0
24,Female,0,Sales Associate,0,25000,USA,Hispanic,0
30,Male,2,Financial Analyst,6,100000,Canada,Black,0
26,Female,1,Social Media Manager,3,55000,Australia,Asian,0
32,Male,3,Data Scientist,9,140000,Canada,White,0
22,Female,0,Receptionist,0,25000,USA,White,0
37,Male,1,Product Manager,12,150000,USA,Asian,0
38,Female,2,Marketing Director,14,170000,Australia,White,0
25,Male,1,Software Engineer,1,55000,China,Chinese,0
29,Female,1,Marketing Coordinator,4,65000,Canada,Asian,0
27,Male,1,Product Designer,3,60000,China,Korean,0
34,Female,3,Research Director,10,150000,UK,Welsh,0
26,Male,1,Marketing Analyst,2,50000,UK,Asian,0
31,Female,2,Financial Manager,7,120000,USA,Asian,0
25,Male,1,Software Engineer,1,55000,China,Chinese,0
29,Female,1,Marketing Coordinator,4,65000,China,Korean,0
27,Male,1,Product Designer,3,60000,UK,Asian,0
34,Female,3,Research Director,10,150000,China,Korean,0
26,Male,1,Marketing Analyst,2,50000,UK,Welsh,0
31,Female,2,Financial Manager,7,120000,Canada,Black,0
23,Male,1,Software Engineer,1,60000,USA,Hispanic,0
39,Female,2,Marketing Manager,12,150000,UK,Asian,0
28,Male,1,Financial Analyst,4,80000,China,Korean,0
31,Female,3,Research Scientist,8,120000,Australia,Asian,0
35,Male,1,Project Manager,10,130000,China,White,0
27,Female,1,Graphic Designer,2,50000,USA,Hispanic,0
42,Male,2,Software Engineer,18,180000,USA,Asian,1
29,Female,1,Digital Marketing Specialist,3,60000,UK,Welsh,0
33,Male,1,Marketing Manager,7,110000,USA,Asian,0
24,Female,0,Sales Associate,0,25000,Canada,White,0
30,Male,2,Financial Analyst,6,100000,Australia,Australian,0
26,Female,1,Social Media Manager,3,55000,Canada,White,0
32,Male,3,Data Scientist,9,140000,China,Chinese,0
22,Female,0,Receptionist,0,25000,Canada,Asian,0
